event,sex,a,b,c,time,integer
100m,m,24.6422116633,-16.9975315583,-0.2186620480,true,false
200m,m,5.0833296257,-35.4911115974,0.0957410215,true,false
300m,m,1.8296570247,-57.1976881434,-0.0553585925,true,false
400m,m,1.0210130426,-78.9946930564,0.0029880052,true,false
500m,m,0.5649640314,-105.9967162205,-0.0223133096,true,false
600m,m,0.3669867740,-130.9961594799,-0.0103075994,true,false
800m,m,0.1980049254,-181.9938575678,0.0091543669,true,false
1000m,m,0.1074010815,-239.9941856026,0.0042507048,true,false
1500m,m,0.0406599253,-384.9950051367,0.0012055910,true,false
mile,m,0.0350996776,-414.9960661793,-0.0028258109,true,false
2K,m,0.0218100318,-527.9948241122,0.0001703359,true,false
3K,m,0.0081500499,-839.9938439226,0.0015204438,true,false
2_mile,m,0.0070299885,-904.7954323334,-0.0009453377,true,false
5K,m,0.0027779979,-1439.9953256617,-0.0004296371,true,false
10K,m,0.0005239994,-3149.9962170853,-0.0004979093,true,false
110mH,m,7.6652061276,-25.7930225928,0.0141087786,true,false
400mH,m,0.5459888468,-95.4953371509,0.0002166679,true,false
2000mSC,m,0.0102299858,-659.9952837440,-0.0004264088,true,false
3000mSC,m,0.0043159973,-1019.9952251094,-0.0005178463,true,false
4x1,m,1.2360320754,-69.4946755547,0.0020228151,true,false
4x2,m,0.2976775548,-143.9939035213,0.0118168894,true,false
4x4,m,0.0502588314,-333.9973041754,-0.0080115351,true,false
100K,m,0.0000017650,-48599.6069691841,-0.0015614538,true,false
half_marathon,m,0.0001020050,-7019.4133397892,0.0119952047,true,false
marathon,m,0.0000191003,-15599.4039272134,0.0084789663,true,false
HJ,m,32.1457081634,11.5936889433,-5026.0808417004,false,false
LJ,m,1.9310928730,48.3486190515,-4993.8077931235,false,false
TJ,m,0.4603666024,98.8014630138,-5008.9686647032,false,false
DT,m,0.0040063129,2232.9834114813,-20003.5249226571,false,false
HT,m,0.0028034429,2669.7566381795,-20002.8716570753,false,false
JT,m,0.0024031525,2879.7978639657,-19950.9683606244,false,false
PV,m,3.0457199209,39.3358603090,-4993.2138282251,false,false
SP,m,0.0423461436,684.8281542324,-19915.7245727669,false,false
DEC,m,0.0000009772,71186.6785041732,-5001.0472144005,false,true
60m,m,68.6203220047,-10.6992800164,-0.3594275681,true,false
60mH,m,23.9163242706,-14.5966339421,-0.1644943777,true,false
indoor_hep,m,0.0000017511,53203.5391079802,-5002.8876894102,false,true
100m,w,9.9274264508,-21.9933700028,0.0421329658,true,false
200m,w,2.2422237149,-45.4938200765,0.0245765276,true,false
300m,w,0.6999743364,-76.9959087143,-0.0139944400,true,false
400m,w,0.3350059758,-109.9942273774,0.0076554298,true,false
500m,w,0.1713990152,-150.4950203151,0.0051908612,true,false
600m,w,0.1191983841,-183.9955892216,-0.0026515132,true,false
800m,w,0.0687998934,-249.9950232947,-0.0000169472,true,false
1000m,w,0.0381997085,-329.9958136040,-0.0021547584,true,false
1500m,w,0.0133999963,-539.9949703133,-0.0005396117,true,false
mile,w,0.0116499986,-579.9949693123,0.0004597245,true,false
2K,w,0.0067660105,-749.9948524357,0.0001847193,true,false
3K,w,0.0025389975,-1199.9953765729,-0.0002368852,true,false
2_mile,w,0.0021569983,-1296.2954038511,-0.0002368758,true,false
5K,w,0.0008079992,-2099.9956378883,-0.0001983631,true,false
10K,w,0.0001711705,-4500.3728183251,-0.1365493768,true,false
100mH,w,3.9822963262,-29.9904801411,0.1130387851,true,false
400mH,w,0.2085649572,-129.9952469068,-0.0011574468,true,false
2000mSC,w,0.0045000012,-879.9946744771,0.0008898666,true,false
3000mSC,w,0.0013229981,-1509.9954525199,-0.0000262420,true,false
4x1,w,0.3895003606,-97.9948488911,0.0029041676,true,false
4x2,w,0.0794985466,-211.9961734118,-0.0049477681,true,false
4x4,w,0.0156200769,-479.9939979174,0.0031084665,true,false
100K,w,0.0000008740,-61199.5508531756,-0.0005792629,true,false
half_marathon,w,0.0000352993,-9899.5699844392,-0.0079093982,true,false
marathon,w,0.0000059501,-22799.3431644815,0.0052008190,true,false
HJ,w,39.5579087445,10.5082093421,-4969.5880642855,false,false
LJ,w,1.9581140326,49.4597044183,-5024.0505434215,false,false
TJ,w,0.4296645887,105.1320544518,-4980.6423815636,false,false
DT,w,0.0040284238,2226.8877644471,-19996.2817097077,false,false
HT,w,0.0030967240,2539.8077202523,-19998.4991354651,false,false
JT,w,0.0040722745,2215.2996127575,-20003.7430818798,false,false
PV,w,3.9325797501,35.0265857026,-5029.8531935972,false,false
SP,w,0.0462143876,657.3172794694,-19993.5978247992,false,false
HEP,w,0.0000015806,56004.0768596358,-5001.3485654597,false,true
60m,w,24.9117754427,-13.9976515376,-0.2293776923,true,false
60mH,w,11.1682818890,-18.1940019446,0.0085061498,true,false
indoor_pent,w,0.0000029452,41021.7737084897,-4998.5983727330,false,true
