index	time	x	y	z	thing
1	1643490301011	-0.858	3.952	10.305	noname
2	1643490301014	-0.858	3.952	10.305	noname
3	1643490301015	-0.858	3.952	10.305	noname
4	1643490301016	-0.858	3.952	10.305	noname
5	1643490301017	-0.858	3.952	10.305	noname
6	1643490301018	-0.858	3.952	10.305	noname
7	1643490301019	-0.517	3.965	11.179	noname
8	1643490301038	-0.603	3.982	10.876	noname
9	1643490301039	-1.228	3.953	9.676	noname
10	1643490301045	-1.839	3.965	8.259	noname
11	1643490301055	-2.049	4.05	7.328	noname
12	1643490301067	-1.853	4.161	7.034	noname
13	1643490301075	-1.423	4.279	7.239	noname
14	1643490301085	-1.027	4.403	7.697	noname
15	1643490301095	-0.764	4.389	8.656	noname
16	1643490301105	-0.981	4.293	8.992	noname
17	1643490301115	-1.331	4.116	8.973	noname
18	1643490301125	-1.627	3.889	8.66	noname
19	1643490301135	-1.78	3.733	8.411	noname
20	1643490301145	-1.795	3.771	8.322	noname
21	1643490301155	-1.73	3.888	8.414	noname
22	1643490301165	-1.537	4.04	8.573	noname
23	1643490301175	-1.4	4.159	8.804	noname
24	1643490301185	-1.378	4.155	8.973	noname
25	1643490301196	-1.517	4.067	8.89	noname
26	1643490301206	-1.723	3.976	8.614	noname
27	1643490301216	-1.864	3.915	8.375	noname
28	1643490301226	-1.876	3.84	8.253	noname
29	1643490301236	-1.845	3.727	8.163	noname
30	1643490301248	-1.798	3.643	8.183	noname
31	1643490301256	-1.752	3.625	8.222	noname
32	1643490301266	-1.689	3.606	8.258	noname
33	1643490301276	-1.51	3.661	8.387	noname
34	1643490301286	-1.307	3.813	8.543	noname
35	1643490301296	-1.322	4.058	8.416	noname
36	1643490301306	-1.522	4.083	8.101	noname
37	1643490301316	-1.654	4.057	7.78	noname
38	1643490301326	-1.556	4.053	7.718	noname
39	1643490301336	-1.043	4.087	8.137	noname
40	1643490301346	-0.25	4.209	8.824	noname
41	1643490301356	0.367	4.337	9.599	noname
42	1643490301367	0.605	4.229	10.084	noname
43	1643490301375	0.461	4.127	10.102	noname
44	1643490301385	-0.058	4.008	9.756	noname
45	1643490301395	-0.743	3.739	9.555	noname
46	1643490301405	-1.309	3.494	9.674	noname
47	1643490301415	-1.705	3.276	9.779	noname
48	1643490301427	-1.982	2.95	9.79	noname
49	1643490301436	-2.214	2.68	9.84	noname
50	1643490301446	-2.126	2.647	9.823	noname
51	1643490301457	-1.665	2.898	9.853	noname
52	1643490301466	-0.984	3.26	9.86	noname
53	1643490301476	-0.269	3.695	9.769	noname
54	1643490301486	0.208	3.957	9.825	noname
55	1643490301496	0.162	3.632	9.484	noname
56	1643490301506	-0.345	3.12	9.191	noname
57	1643490301516	-1.022	2.589	8.984	noname
58	1643490301526	-1.644	2.07	9.082	noname
59	1643490301536	-2.06	1.678	9.297	noname
60	1643490301546	-2.113	1.504	9.394	noname
61	1643490301556	-1.71	1.623	9.699	noname
62	1643490301566	-1.255	1.867	10.203	noname
63	1643490301576	-0.693	2.225	10.484	noname
64	1643490301586	-0.108	2.736	10.305	noname
65	1643490301596	0.411	3.244	9.725	noname
66	1643490301608	0.828	3.588	8.818	noname
67	1643490301616	1.046	3.73	7.724	noname
68	1643490301626	1.125	3.894	6.804	noname
69	1643490301636	1.113	4.065	6.177	noname
70	1643490301647	0.91	4.005	6.065	noname
71	1643490301657	0.571	3.629	6.625	noname
72	1643490301666	0.282	3.066	7.599	noname
73	1643490301676	0.011	2.579	8.468	noname
74	1643490301686	-0.268	2.222	9.234	noname
75	1643490301696	-0.503	2.039	10.574	noname
76	1643490301706	-0.447	2.315	10.791	noname
77	1643490301716	-0.246	2.724	10.575	noname
78	1643490301726	0.133	3.158	10.187	noname
79	1643490301736	0.463	3.569	9.809	noname
80	1643490301746	-0.364	3.337	9.443	noname
81	1643490301757	-0.086	3.66	8.554	noname
82	1643490301767	1.022	3.442	7.914	noname
83	1643490301776	0.527	3.129	7.906	noname
84	1643490301789	0.14	2.528	7.664	noname
85	1643490301797	-0.266	1.918	7.973	noname
86	1643490301807	-0.652	1.626	8.237	noname
87	1643490301816	-0.762	1.689	8.548	noname
88	1643490301826	-0.676	2.182	8.516	noname
89	1643490301837	-0.441	2.663	7.889	noname
90	1643490301847	0.117	2.996	6.525	noname
91	1643490301857	1.013	3.339	5.298	noname
92	1643490301867	1.707	3.507	5.757	noname
93	1643490301877	2.023	3.548	6.607	noname
94	1643490301887	2.105	3.5	6.523	noname
95	1643490301897	1.886	3.291	6.493	noname
96	1643490301907	0.981	2.459	6.693	noname
97	1643490301916	0.484	2.051	6.576	noname
98	1643490301926	0.122	2.123	6.449	noname
99	1643490301936	0.199	2.681	6.388	noname
100	1643490301946	1.021	3.502	6.404	noname
101	1643490301956	2.322	4.228	7.249	noname
102	1643490301968	3.513	4.418	8.421	noname
103	1643490301976	3.839	4.158	8.995	noname
104	1643490301986	2.803	3.669	8.966	noname
105	1643490301996	1.371	2.877	8.957	noname
106	1643490302007	0.092	1.785	9.133	noname
107	1643490302017	-0.735	0.945	8.72	noname
108	1643490302027	-1.047	0.809	7.691	noname
109	1643490302037	-0.768	1.219	6.413	noname
110	1643490302047	0.044	1.809	5.498	noname
111	1643490302059	1.316	2.321	5.561	noname
112	1643490302067	2.368	2.608	5.933	noname
113	1643490302077	3.04	2.529	6.19	noname
114	1643490302086	3.71	2.356	7.203	noname
115	1643490302097	4.42	2.461	9.036	noname
116	1643490302106	3.963	1.422	12.27	noname
117	1643490302116	2.905	0.387	12.435	noname
118	1643490302126	1.741	-0.852	11.709	noname
119	1643490302136	0.891	-2.015	10.09	noname
120	1643490302148	0.48	-2.826	8.276	noname
121	1643490302156	0.994	-2.64	7.415	noname
122	1643490302167	2.721	-1.754	8.051	noname
123	1643490302177	4.769	-0.719	9.618	noname
124	1643490302187	5.936	-0.02	11.547	noname
125	1643490302197	5.855	-0.103	12.911	noname
126	1643490302207	4.794	-1.007	13.122	noname
127	1643490302217	3.632	-2.033	12.434	noname
128	1643490302227	2.998	-2.641	11.457	noname
129	1643490302237	2.95	-2.823	10.666	noname
130	1643490302247	3.681	-2.292	10.269	noname
131	1643490302257	4.884	-1.305	10.145	noname
132	1643490302267	6.226	-0.557	10.53	noname
133	1643490302277	7.195	-0.138	11.259	noname
134	1643490302288	7.419	-0.225	11.445	noname
135	1643490302297	6.929	-0.804	11.092	noname
136	1643490302308	5.331	-2.377	10.253	noname
137	1643490302318	4.912	-2.767	10.336	noname
138	1643490302329	4.774	-2.883	10.636	noname
139	1643490302338	4.591	-2.96	10.561	noname
140	1643490302347	4.666	-2.778	9.869	noname
141	1643490302358	4.969	-2.512	9.178	noname
142	1643490302368	5.253	-2.362	8.812	noname
143	1643490302377	5.459	-2.399	8.458	noname
144	1643490302387	5.52	-2.649	7.761	noname
145	1643490302397	5.288	-2.85	7.348	noname
146	1643490302407	4.916	-2.999	6.876	noname
147	1643490302417	4.75	-2.908	6.639	noname
148	1643490302427	4.872	-2.716	7.081	noname
149	1643490302437	5.186	-2.418	7.785	noname
150	1643490302447	5.522	-2.09	8.517	noname
151	1643490302458	5.728	-1.896	8.794	noname
152	1643490302467	6.027	-1.849	9.023	noname
153	1643490302476	9.377	-3.221	18.874	noname
154	1643490302486	7.383	-1.73	10.367	noname
155	1643490302496	5.641	0.29	8.632	noname
156	1643490302508	4.732	-0.399	7.456	noname
157	1643490302516	5.784	-1.171	7.177	noname
158	1643490302527	4.641	-0.254	8.721	noname
159	1643490302537	3.831	-0.552	10.187	noname
160	1643490302547	4.633	-1.236	9.876	noname
161	1643490302557	4.744	-1.535	9.043	noname
162	1643490302567	4.56	-1.656	8.738	noname
163	1643490302577	4.323	-1.641	8.674	noname
164	1643490302587	4.273	-1.49	8.635	noname
165	1643490302597	4.345	-1.191	8.717	noname
166	1643490302607	4.145	-0.952	8.573	noname
167	1643490302617	3.852	-0.715	8.499	noname
168	1643490302627	3.548	-0.496	8.666	noname
169	1643490302637	3.418	-0.472	9.226	noname
170	1643490302648	4.074	-1.402	12.975	noname
171	1643490302658	2.2	-1.857	3.878	noname
172	1643490302667	2.847	-1.738	7.874	noname
173	1643490302677	4.347	-0.737	11.135	noname
174	1643490302689	4.695	-0.866	9.594	noname
175	1643490302697	4.216	-1.825	11.207	noname
176	1643490302707	3.403	-1.602	9.075	noname
177	1643490302717	4.355	-1.104	11.688	noname
178	1643490302728	3.674	-1.525	8.089	noname
179	1643490302738	3.462	-1.342	7.138	noname
180	1643490302747	3.64	-1.089	10.141	noname
181	1643490302757	3.132	-1.038	10.819	noname
182	1643490302767	2.063	-0.965	7.857	noname
183	1643490302777	1.312	-0.878	9.725	noname
184	1643490302787	0.827	-0.75	10.335	noname
185	1643490302797	0.48	-0.806	7.548	noname
186	1643490302808	1.829	-0.712	11.975	noname
187	1643490302817	0.581	-2.736	8.381	noname
188	1643490302827	-0.091	-0.558	0.479	noname
189	1643490302838	-0.974	-0.622	-1.939	noname
190	1643490302848	-0.931	-0.898	5.41	noname
191	1643490302858	-1.182	0.499	9.216	noname
192	1643490302869	1.415	0.066	13.46	noname
193	1643490302877	1.662	-0.105	13.476	noname
194	1643490302887	0.101	0.074	6.275	noname
195	1643490302897	-0.39	-0.4	7.333	noname
196	1643490302907	0.274	-0.016	9.116	noname
197	1643490302918	0.295	-0.141	10.051	noname
198	1643490302928	0.028	-0.077	9.303	noname
199	1643490302938	0.29	-0.064	9.958	noname
200	1643490302948	0.16	-0.08	9.574	noname
201	1643490302958	0.202	-0.104	9.632	noname
202	1643490302968	0.211	-0.083	9.799	noname
203	1643490302977	0.162	-0.105	9.633	noname
204	1643490302987	0.208	-0.114	9.669	noname
205	1643490302997	0.179	-0.081	9.752	noname
206	1643490303007	0.181	-0.089	9.653	noname
207	1643490303018	0.209	-0.089	9.644	noname
208	1643490303027	0.196	-0.101	9.746	noname
209	1643490303040	0.178	-0.103	9.686	noname
210	1643490303049	0.189	-0.101	9.673	noname
211	1643490303059	0.196	-0.085	9.706	noname
212	1643490303068	0.195	-0.079	9.661	noname
213	1643490303078	0.196	-0.083	9.654	noname
214	1643490303087	0.177	-0.093	9.706	noname
215	1643490303097	0.186	-0.097	9.679	noname
216	1643490303107	0.191	-0.095	9.687	noname
217	1643490303118	0.194	-0.106	9.674	noname
218	1643490303127	0.206	-0.091	9.67	noname
